A,0,,,,,,,,,,,
B,4.024,0,,,,,,,,,,
C,4.256,1.403,0,,,,,,,,,
D,4.967,1.955,3.179,0,,,,,,,,
E,4.218,1.452,2.112,1.615,0,,,,,,,
F,4.016,1.334,1.213,2.568,1.153,0,,,,,,
G,2.128,3.23,4.036,3.819,3.769,3.899,0,,,,,
H,1.991,2.897,3.693,3.197,2.818,3.099,1.615,0,,,,
I,5.4,2.849,3.882,1.403,1.991,2.935,4.58,3.559,0,,,
J,2.112,4.157,4.98,4.256,4.103,4.415,1.841,1.334,4.503,0,,
K,2.008,3.787,4.526,4.415,4.256,4.256,1.334,1.841,4.858,1.615,0,
L,2.667,4.429,5.108,5.108,5.131,5.163,1.403,2.918,5.928,2.65,1.861,0
,,,,,,,,,,,,
,A,B,C,D,E,F,G,H,I,J,K,L
